Issue,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective,Details
stale_missing_actual_dropped,EUR::irish exchequer returns::none,EUR,Irish Exchequer Returns  (Apr),apr,2016-05-03,23:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,THB::currency swaps (usd)::none,THB,Currency Swaps (USD),,2016-04-12,15:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,THB::foreign reserves (usd)::none,THB,Foreign Reserves (USD),,2016-04-12,15:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,PLN::current account (eur)::none,PLN,Current Account (EUR)  (Dec),dec,2016-02-05,23:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,NZD::nbnz own activity::none,NZD,NBNZ Own Activity  (Jan),jan,2016-01-29,08:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,EUR::greek credit expansion::y/y,EUR,Greek Credit Expansion (YoY)  (Nov),nov,2016-01-15,18:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,IDR::loans::y/y,IDR,Loans (YoY)  (May),may,2016-07-21,18:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,IDR::loans::y/y,IDR,Loans (YoY),,2016-11-17,17:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,IDR::motorbike sales::y/y,IDR,Motorbike Sales (YoY)  (Oct),oct,2016-11-10,15:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,NZD::terms of trade - exports volume::q/q,NZD,Terms of Trade - Exports Volume (QoQ)  (Q3),q3,2016-12-01,05:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,EGP::m2 money supply::y/y,EGP,M2 Money Supply (YoY)  (May),may,2016-07-15,06:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,EUR::slovak current account::none,EUR,Slovak Current Account  (Oct),oct,2016-12-13,21:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,KWD::bank lending::y/y,KWD,Bank Lending (YoY)  (Feb),feb,2016-04-25,20:25,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,KWD::bank lending::y/y,KWD,Bank Lending (YoY)  (Mar),mar,2016-05-28,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,KWD::m2 money supply::y/y,KWD,M2 Money Supply (YoY)  (Feb),feb,2016-04-25,20:25,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,KWD::m2 money supply::y/y,KWD,M2 Money Supply (YoY)  (Mar),mar,2016-05-28,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
